site_id,site_name,project_id,project_name,project_region,ecosystem_focus,monitoring_type,area_hectares,restoration_type,funding_status,invasive_species_cover,community_engagement,boundary_type,boundary_confidence
WL-MKU-04,Living Lakes Biodiversity & Climate Project — Mkuze — Monitoring Area 04,WL-MKU,Living Lakes Biodiversity & Climate Project — Mkuze,iSimangaliso Wetland Park,Wetland and agroforestry,Wetland ecosystem function,36.1,Forest,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-MKU-05,Living Lakes Biodiversity & Climate Project — Mkuze — Monitoring Area 05,WL-MKU,Living Lakes Biodiversity & Climate Project — Mkuze,iSimangaliso Wetland Park,Wetland and agroforestry,Wetland ecosystem function,39.9,Forest,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-MKU-06,Living Lakes Biodiversity & Climate Project — Mkuze — Monitoring Area 06,WL-MKU,Living Lakes Biodiversity & Climate Project — Mkuze,iSimangaliso Wetland Park,Wetland and agroforestry,Wetland ecosystem function,3.8,Forest,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-SOM-01,Somkhanda Community Game Reserve — Monitoring Area 01,WL-SOM,Somkhanda Community Game Reserve,Zululand & Maputaland Wildlife Zones,Biodiversity conservation,Conservation landscape,32.1,Savanna,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-SOM-02,Somkhanda Community Game Reserve — Monitoring Area 02,WL-SOM,Somkhanda Community Game Reserve,Zululand & Maputaland Wildlife Zones,Biodiversity conservation,Conservation landscape,16.5,Savanna,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-SOM-03,Somkhanda Community Game Reserve — Monitoring Area 03,WL-SOM,Somkhanda Community Game Reserve,Zululand & Maputaland Wildlife Zones,Biodiversity conservation,Conservation landscape,38.9,Savanna,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-SOM-04,Somkhanda Community Game Reserve — Monitoring Area 04,WL-SOM,Somkhanda Community Game Reserve,Zululand & Maputaland Wildlife Zones,Biodiversity conservation,Conservation landscape,29.4,Savanna,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-SOM-05,Somkhanda Community Game Reserve — Monitoring Area 05,WL-SOM,Somkhanda Community Game Reserve,Zululand & Maputaland Wildlife Zones,Biodiversity conservation,Conservation landscape,12.1,Savanna,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-SOM-06,Somkhanda Community Game Reserve — Monitoring Area 06,WL-SOM,Somkhanda Community Game Reserve,Zululand & Maputaland Wildlife Zones,Biodiversity conservation,Conservation landscape,18.5,Savanna,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-BHE-01,"Bhekula Biodiversity, Stewardship & Sustainable Livelihoods Project — Monitoring Area 01",WL-BHE,"Bhekula Biodiversity, Stewardship & Sustainable Livelihoods Project",Zululand & Maputaland Wildlife Zones,Sand forest and savanna,Forest / savanna restoration,35.3,Forest,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-BHE-02,"Bhekula Biodiversity, Stewardship & Sustainable Livelihoods Project — Monitoring Area 02",WL-BHE,"Bhekula Biodiversity, Stewardship & Sustainable Livelihoods Project",Zululand & Maputaland Wildlife Zones,Sand forest and savanna,Forest / savanna restoration,8.8,Forest,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-BHE-03,"Bhekula Biodiversity, Stewardship & Sustainable Livelihoods Project — Monitoring Area 03",WL-BHE,"Bhekula Biodiversity, Stewardship & Sustainable Livelihoods Project",Zululand & Maputaland Wildlife Zones,Sand forest and savanna,Forest / savanna restoration,13.3,Forest,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-BHE-04,"Bhekula Biodiversity, Stewardship & Sustainable Livelihoods Project — Monitoring Area 04",WL-BHE,"Bhekula Biodiversity, Stewardship & Sustainable Livelihoods Project",Zululand & Maputaland Wildlife Zones,Sand forest and savanna,Forest / savanna restoration,7.8,Forest,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-BHE-05,"Bhekula Biodiversity, Stewardship & Sustainable Livelihoods Project — Monitoring Area 05",WL-BHE,"Bhekula Biodiversity, Stewardship & Sustainable Livelihoods Project",Zululand & Maputaland Wildlife Zones,Sand forest and savanna,Forest / savanna restoration,31.6,Forest,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-FER-01,Ferncliff Nature Reserve — Monitoring Area 01,WL-FER,Ferncliff Nature Reserve,KwaZulu-Natal Midlands,Mistbelt forest,Forest restoration / IAP clearing,14.3,Forest,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-FER-02,Ferncliff Nature Reserve — Monitoring Area 02,WL-FER,Ferncliff Nature Reserve,KwaZulu-Natal Midlands,Mistbelt forest,Forest restoration / IAP clearing,35.4,Forest,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-FER-03,Ferncliff Nature Reserve — Monitoring Area 03,WL-FER,Ferncliff Nature Reserve,KwaZulu-Natal Midlands,Mistbelt forest,Forest restoration / IAP clearing,4.2,Forest,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-FER-04,Ferncliff Nature Reserve — Monitoring Area 04,WL-FER,Ferncliff Nature Reserve,KwaZulu-Natal Midlands,Mistbelt forest,Forest restoration / IAP clearing,5.3,Forest,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-FER-05,Ferncliff Nature Reserve — Monitoring Area 05,WL-FER,Ferncliff Nature Reserve,KwaZulu-Natal Midlands,Mistbelt forest,Forest restoration / IAP clearing,30.9,Forest,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-SON-01,Sontuli Education Centre — Monitoring Area 01,WL-SON,Sontuli Education Centre,Hluhluwe-iMfolozi Park,Conservation education,Conservation landscape,20.1,Savanna,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-SON-02,Sontuli Education Centre — Monitoring Area 02,WL-SON,Sontuli Education Centre,Hluhluwe-iMfolozi Park,Conservation education,Conservation landscape,35.2,Savanna,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-SON-03,Sontuli Education Centre — Monitoring Area 03,WL-SON,Sontuli Education Centre,Hluhluwe-iMfolozi Park,Conservation education,Conservation landscape,22.5,Savanna,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
WL-SON-04,Sontuli Education Centre — Monitoring Area 04,WL-SON,Sontuli Education Centre,Hluhluwe-iMfolozi Park,Conservation education,Conservation landscape,13.8,Savanna,Demonstration dataset,,Not specified,Estimated demonstration monitoring area,Estimated — not WILDTRUST field boundary
